Age,Annual_salary,Currency,Country,professional_work_experience_overall,professional_work_experience_field,education_level,Gender,grouped_industry,salary_in_usd
18-24,127688.0,USD,US,1 year or less,1 year or less,College degree,Woman,Computing,127688.0
25-34,72500.0,USD,US,5-7 years,5-7 years,College degree,Woman,Engineering,72500.0
25-34,65000.0,USD,US,8 - 10 years,5-7 years,College degree,Non-binary,Media,65000.0
35-44,125000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Man,Computing,125000.0
35-44,192000.0,USD,US,11 - 20 years,11 - 20 years,Some college,Man,Computing,192000.0
35-44,215000.0,USD,US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,215000.0
45-54,180000.0,USD,US,31 - 40 years,31 - 40 years,Master's degree,Man,Computing,180000.0
45-54,135000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Man,Administration,135000.0
45-54,98000.0,CAD,Canada,21 - 30 years,8 - 10 years,College degree,Woman,Nonprofits,70560.0
18-24,65000.0,USD,US,1 year or less,1 year or less,College degree,Woman,Accounting,65000.0
25-34,115000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Computing,115000.0
25-34,51000.0,USD,US,8 - 10 years,2 - 4 years,College degree,Woman,Nonprofits,51000.0
25-34,51600.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Nonprofits,51600.0
25-34,47445.0,USD,US,8 - 10 years,5-7 years,Some college,Man,Real Estate,47445.0
25-34,31999.0,USD,US,11 - 20 years,11 - 20 years,Some college,Woman,Retail,31999.0
35-44,106000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Computing,106000.0
35-44,100000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Engineering,100000.0
35-44,115000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Engineering,115000.0
35-44,80000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Woman,HR,80000.0
18-24,45000.0,USD,US,1 year or less,1 year or less,Some college,Woman,Events,45000.0
25-34,50000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,50000.0
25-34,52000.0,USD,US,5-7 years,2 - 4 years,College degree,Man,Education,52000.0
25-34,20800.0,GBP,UK,8 - 10 years,8 - 10 years,High School,Woman,Social Work,26832.0
35-44,39000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Archives,39000.0
35-44,103000.0,USD,US,11 - 20 years,8 - 10 years,High School,Man,Computing,103000.0
35-44,206000.0,USD,US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,206000.0
35-44,49000.0,GBP,UK,11 - 20 years,11 - 20 years,Master's degree,Man,Media,63210.0
45-54,53000.0,GBP,UK,11 - 20 years,11 - 20 years,PhD,Man,Education,68370.0
45-54,168000.0,USD,US,11 - 20 years,11 - 20 years,PhD,Man,Pharmaceuticals,168000.0
18-24,19380.0,GBP,UK,5-7 years,5-7 years,High School,Man,Computing,25000.2
25-34,131000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Computing,131000.0
25-34,185000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Man,Computing,185000.0
25-34,48000.0,GBP,UK,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Education,61920.0
25-34,45000.0,CAD,Canada,8 - 10 years,8 - 10 years,PhD,Woman,Environmental,32400.0
35-44,100000.0,GBP,UK,21 - 30 years,21 - 30 years,Master's degree,Man,Accounting,129000.0
35-44,60000.0,CAD,Canada,11 - 20 years,5-7 years,College degree,Woman,Computing,43200.0
35-44,50000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Education,50000.0
35-44,46000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,46000.0
45-54,125000.0,USD,US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,125000.0
25-34,75000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Computing,75000.0
25-34,40000.0,USD,US,5-7 years,2 - 4 years,Master's degree,Woman,Other,40000.0
25-34,83000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,83000.0
25-34,29600.0,USD,US,2 - 4 years,2 - 4 years,Some college,Woman,Healthcare,29600.0
25-34,140000.0,USD,US,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,Law,140000.0
25-34,34000.0,GBP,UK,5-7 years,5-7 years,College degree,Man,Communication,43860.0
35-44,48000.0,EUR,Netherlands,21 - 30 years,11 - 20 years,College degree,Man,Computing,52320.00000000001
35-44,164800.0,USD,US,11 - 20 years,8 - 10 years,College degree,Man,Computing,164800.0
35-44,55000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Man,Education,55000.0
35-44,44000.0,USD,US,11 - 20 years,2 - 4 years,College degree,Non-binary,Administration,44000.0
35-44,96000.0,USD,US,8 - 10 years,5-7 years,Master's degree,Woman,Healthcare,96000.0
35-44,57000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Media,57000.0
45-54,169180.0,USD,US,11 - 20 years,8 - 10 years,College degree,Woman,Business,169180.0
45-54,68000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Man,Nonprofits,68000.0
25-34,69000.0,USD,US,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Administration,69000.0
25-34,36812.0,GBP,UK,5-7 years,2 - 4 years,College degree,Woman,Administration,47487.48
35-44,45050.0,USD,US,11 - 20 years,2 - 4 years,College degree,Man,Accounting,45050.0
35-44,57000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Media,57000.0
35-44,42500.0,CAD,Canada,11 - 20 years,8 - 10 years,College degree,Woman,Communication,30600.0
25-34,75000.0,GBP,UK,5-7 years,5-7 years,College degree,Woman,Accounting,96750.0
25-34,60000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Accounting,60000.0
25-34,140000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Computing,140000.0
25-34,83000.0,USD,US,11 - 20 years,2 - 4 years,College degree,Woman,Insurance,83000.0
25-34,59000.0,USD,US,8 - 10 years,2 - 4 years,Master's degree,Woman,Nonprofits,59000.0
25-34,95000.0,USD,US,8 - 10 years,2 - 4 years,Master's degree,Woman,Property,95000.0
25-34,45000.0,USD,US,11 - 20 years,5-7 years,College degree,Man,HR,45000.0
25-34,37000.0,USD,US,2 - 4 years,1 year or less,Master's degree,Woman,Research,37000.0
25-34,36000.0,GBP,UK,8 - 10 years,2 - 4 years,Some college,Woman,Sales,46440.0
35-44,113500.0,USD,US,11 - 20 years,2 - 4 years,College degree,Woman,Computing,113500.0
35-44,72500.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Non-binary,Media,72500.0
25-34,45000.0,USD,US,5-7 years,2 - 4 years,,Man,Computing,45000.0
25-34,67600.0,USD,US,5-7 years,5-7 years,Some college,Woman,Engineering,67600.0
25-34,72800.0,USD,US,11 - 20 years,11 - 20 years,High School,Man,Engineering,72800.0
25-34,56000.0,USD,US,5-7 years,5-7 years,Some college,Man,Events,56000.0
25-34,65000.0,AUD/NZD,Australia,2 - 4 years,2 - 4 years,PhD,Woman,Marketing,42900.0
25-34,60000.0,CAD,Canada,5-7 years,2 - 4 years,Master's degree,Woman,HR,43200.0
35-44,37500.0,GBP,Scotland,11 - 20 years,5-7 years,Some college,Non-binary,Administration,48375.0
35-44,84000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Nonprofits,84000.0
35-44,150000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Transportation,150000.0
45-54,105000.0,GBP,UK,31 - 40 years,21 - 30 years,Master's degree,Man,Computing,135450.0
45-54,120000.0,USD,US,31 - 40 years,21 - 30 years,College degree,Woman,Engineering,120000.0
18-24,45000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Law,45000.0
18-24,70000.0,USD,US,2 - 4 years,1 year or less,College degree,Woman,Retail,70000.0
25-34,52000.0,GBP,UK,8 - 10 years,5-7 years,College degree,Woman,Computing,67080.0
35-44,39000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Retail,39000.0
45-54,42000.0,GBP,UK,21 - 30 years,21 - 30 years,College degree,Man,Veterinary,54180.0
25-34,90000.0,GBP,UK,11 - 20 years,11 - 20 years,Master's degree,Man,Computing,116100.0
25-34,110000.0,USD,US,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,110000.0
25-34,162000.0,USD,US,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Law,162000.0
25-34,119000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Property,119000.0
35-44,114350.0,USD,US,21 - 30 years,5-7 years,College degree,Man,Computing,114350.0
35-44,35000.0,GBP,UK,11 - 20 years,11 - 20 years,,Man,Administration,45150.0
35-44,83000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Healthcare,83000.0
35-44,150000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Woman,Marketing,150000.0
25-34,32000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Other or prefer not to answer,Art,32000.0
25-34,46000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Art,46000.0
25-34,72500.0,USD,US,8 - 10 years,2 - 4 years,College degree,Man,Computing,72500.0
25-34,83000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Game,83000.0
35-44,62500.0,USD,US,11 - 20 years,8 - 10 years,College degree,Woman,Agriculture,62500.0
35-44,85000.0,USD,US,11 - 20 years,8 - 10 years,PhD,Woman,Education,85000.0
35-44,69000.0,USD,US,11 - 20 years,2 - 4 years,College degree,Man,Education,69000.0
35-44,70000.0,USD,US,11 - 20 years,11 - 20 years,High School,Man,Retail,70000.0
25-34,40000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Art,40000.0
25-34,97000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Woman,Automotive,97000.0
25-34,62800.0,USD,US,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Administration,62800.0
25-34,90000.0,CAD,Canada,8 - 10 years,8 - 10 years,College degree,Man,Nonprofits,64800.0
25-34,68800.0,USD,US,5-7 years,2 - 4 years,Master's degree,Woman,Communication,68800.0
35-44,137000.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,,Accounting,137000.0
35-44,130000.0,GBP,UK,21 - 30 years,11 - 20 years,College degree,Man,Computing,167700.0
35-44,249000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Computing,249000.0
35-44,72100.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,HR,72100.0
35-44,70000.0,USD,US,11 - 20 years,11 - 20 years,High School,Man,Retail,70000.0
35-44,60000.0,GBP,UK,11 - 20 years,11 - 20 years,High School,Man,Sales,77400.0
45-54,86700.0,GBP,UK,21 - 30 years,21 - 30 years,College degree,Man,Computing,111843.0
45-54,96000.0,USD,US,31 - 40 years,11 - 20 years,Some college,Man,Transportation,96000.0
55-64,130000.0,GBP,UK,21 - 30 years,21 - 30 years,College degree,Woman,Insurance,167700.0
25-34,125000.0,USD,US,2 - 4 years,8 - 10 years,College degree,Man,Computing,125000.0
25-34,60000.0,CAD,Canada,8 - 10 years,8 - 10 years,College degree,Woman,Engineering,43200.0
25-34,117300.0,USD,US,5-7 years,5-7 years,College degree,Woman,Insurance,117300.0
25-34,47320.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,HR,47320.0
25-34,41600.0,USD,US,11 - 20 years,5-7 years,College degree,Man,Transportation,41600.0
35-44,45000.0,EUR,Ireland,11 - 20 years,2 - 4 years,College degree,Man,Computing,49050.0
35-44,208000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Computing,208000.0
35-44,66000.0,GBP,UK,21 - 30 years,21 - 30 years,Master's degree,Man,Administration,85140.0
35-44,98500.0,USD,US,11 - 20 years,11 - 20 years,Some college,Woman,Nonprofits,98500.0
45-54,76000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Computing,76000.0
25-34,42900.0,USD,US,8 - 10 years,2 - 4 years,College degree,Man,Other,42900.0
25-34,41500.0,USD,US,11 - 20 years,1 year or less,Some college,Woman,Healthcare,41500.0
35-44,86000.0,USD,US,11 - 20 years,11 - 20 years,Some college,Man,Computing,86000.0
35-44,57500.0,GBP,UK,11 - 20 years,11 - 20 years,College degree,Man,Engineering,74175.0
35-44,275000.0,USD,US,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,275000.0
25-34,36420.0,USD,US,8 - 10 years,2 - 4 years,College degree,Man,Accounting,36420.0
25-34,68000.0,USD,US,5-7 years,2 - 4 years,College degree,Man,Engineering,68000.0
25-34,66500.0,USD,US,5-7 years,2 - 4 years,Master's degree,Woman,Marketing,66500.0
25-34,48000.0,CAD,Canada,5-7 years,5-7 years,College degree,Non-binary,Nonprofits,34560.0
25-34,19500.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Nonprofits,19500.0
35-44,140000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Engineering,140000.0
35-44,119000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Woman,Administration,119000.0
35-44,85000.0,USD,US,11 - 20 years,5-7 years,College degree,Woman,Retail,85000.0
25-34,67275.0,USD,US,8 - 10 years,5-7 years,College degree,Non-binary,Computing,67275.0
25-34,134000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Man,Computing,134000.0
25-34,95000.0,USD,US,5-7 years,5-7 years,Master's degree,Man,Computing,95000.0
25-34,65000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Engineering,65000.0
25-34,58000.0,USD,US,8 - 10 years,2 - 4 years,Master's degree,Woman,Media,58000.0
25-34,82000.0,USD,US,2 - 4 years,2 - 4 years,PhD,Man,Pharmaceuticals,82000.0
35-44,89000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Insurance,89000.0
35-44,38000.0,GBP,UK,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Veterinary,49020.0
45-54,172000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Woman,Other,172000.0
45-54,200000.0,USD,US,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Law,200000.0
25-34,62400.0,USD,US,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,62400.0
25-34,20000.0,USD,US,2 - 4 years,2 - 4 years,High School,Non-binary,Events,20000.0
25-34,47500.0,USD,US,5-7 years,5-7 years,College degree,Woman,Events,47500.0
35-44,60156.0,USD,US,8 - 10 years,2 - 4 years,College degree,Man,Accounting,60156.0
35-44,130000.0,USD,US,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,Law,130000.0
35-44,80000.0,USD,US,21 - 30 years,11 - 20 years,College degree,Man,Media,80000.0
25-34,39000.0,USD,US,8 - 10 years,2 - 4 years,College degree,Woman,Art,39000.0
25-34,134000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Computing,134000.0
25-34,76361.0,CAD,Canada,8 - 10 years,8 - 10 years,College degree,Woman,Administration,54979.92
25-34,81000.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Law,81000.0
25-34,65000.0,USD,US,5-7 years,2 - 4 years,Master's degree,Woman,Marketing,65000.0
25-34,42500.0,USD,US,8 - 10 years,5-7 years,College degree,Non-binary,Nonprofits,42500.0
35-44,138000.0,CAD,Canada,11 - 20 years,11 - 20 years,PhD,Woman,Other,99360.0
35-44,115000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Nonprofits,115000.0
55-64,300000.0,USD,US,31 - 40 years,31 - 40 years,Master's degree,Woman,Computing,300000.0
25-34,43000.0,USD,US,21 - 30 years,11 - 20 years,Some college,Man,Computing,43000.0
25-34,86000.0,CAD,Canada,2 - 4 years,2 - 4 years,College degree,Woman,Administration,61920.0
25-34,54000.0,USD,US,2 - 4 years,1 year or less,College degree,Woman,Healthcare,54000.0
25-34,43000.0,EUR,Ireland,5-7 years,8 - 10 years,Master's degree,Man,Marketing,46870.0
25-34,50000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Marketing,50000.0
25-34,45000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Man,Media,45000.0
35-44,82500.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Accounting,82500.0
35-44,58000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Non-binary,Computing,58000.0
35-44,65000.0,USD,US,21 - 30 years,11 - 20 years,College degree,Man,Education,65000.0
45-54,80000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Computing,80000.0
18-24,63000.0,USD,US,5-7 years,2 - 4 years,Master's degree,Man,Business,63000.0
25-34,34000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Administration,34000.0
25-34,110000.0,USD,US,8 - 10 years,5-7 years,College degree,Man,Insurance,110000.0
25-34,98000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Nonprofits,98000.0
25-34,87198.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,HR,87198.0
35-44,57026.0,CAD,Canada,11 - 20 years,11 - 20 years,College degree,Woman,Art,41058.72
35-44,180000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Computing,180000.0
35-44,55000.0,USD,US,21 - 30 years,11 - 20 years,College degree,Woman,Marketing,55000.0
35-44,72000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Media,72000.0
35-44,62000.0,USD,US,8 - 10 years,5-7 years,Master's degree,Non-binary,Nonprofits,62000.0
45-54,92000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,92000.0
45-54,29000.0,USD,US,21 - 30 years,2 - 4 years,Master's degree,Woman,Retail,29000.0
18-24,63000.0,USD,US,5-7 years,2 - 4 years,Master's degree,Man,Business,63000.0
25-34,26600.0,EUR,Portugal,2 - 4 years,2 - 4 years,Master's degree,Man,Computing,28994.000000000004
25-34,76000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Computing,76000.0
25-34,82500.0,CAD,Canada,5-7 years,5-7 years,College degree,Woman,Education,59400.0
25-34,47940.0,USD,US,5-7 years,2 - 4 years,Master's degree,Woman,Healthcare,47940.0
25-34,108000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Media,108000.0
35-44,140000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Engineering,140000.0
35-44,135000.0,USD,US,11 - 20 years,5-7 years,Some college,Man,Marketing,135000.0
35-44,180000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Man,Sales,180000.0
35-44,41206.0,GBP,UK,11 - 20 years,11 - 20 years,College degree,Woman,Nonprofits,53155.74
45-54,180000.0,USD,US,21 - 30 years,11 - 20 years,Some college,Other or prefer not to answer,Computing,180000.0
55-64,42000.0,GBP,UK,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,Healthcare,54180.0
25-34,140000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Computing,140000.0
25-34,90000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Man,Engineering,90000.0
25-34,56000.0,USD,US,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Man,Law,56000.0
25-34,98000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Nonprofits,98000.0
35-44,580000.0,Other,Israel,8 - 10 years,8 - 10 years,College degree,Man,Computing,580000.0
35-44,215000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Computing,215000.0
35-44,60000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,60000.0
35-44,165000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Media,165000.0
35-44,115000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Property,115000.0
45-54,108000.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Woman,Media,108000.0
55-64,200000.0,USD,US,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,Law,200000.0
25-34,79609.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Accounting,79609.0
25-34,52000.0,USD,US,8 - 10 years,2 - 4 years,College degree,Non-binary,Art,52000.0
25-34,40000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Art,40000.0
25-34,142000.0,USD,US,2 - 4 years,2 - 4 years,Master's degree,Man,Computing,142000.0
25-34,115000.0,AUD/NZD,Australia,5-7 years,5-7 years,College degree,Man,Computing,75900.0
25-34,54337.0,USD,US,5-7 years,2 - 4 years,Master's degree,Woman,Education,54337.0
25-34,175000.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Nonprofits,175000.0
35-44,115000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Woman,Computing,115000.0
35-44,40000.0,GBP,UK,11 - 20 years,11 - 20 years,Master's degree,Non-binary,Education,51600.0
35-44,130000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Communication,130000.0
45-54,170000.0,USD,US,21 - 30 years,11 - 20 years,College degree,Man,Business,170000.0
45-54,69680.0,USD,US,21 - 30 years,8 - 10 years,College degree,Man,Retail,69680.0
18-24,50000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Marketing,50000.0
25-34,130000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Computing,130000.0
25-34,67400.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Education,67400.0
25-34,34000.0,EUR,France,8 - 10 years,8 - 10 years,PhD,Man,Education,37060.0
25-34,57000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Administration,57000.0
25-34,35360.0,USD,US,8 - 10 years,1 year or less,Some college,Woman,Healthcare,35360.0
25-34,62000.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Media,62000.0
25-34,51150.0,USD,US,5-7 years,2 - 4 years,College degree,Man,Museums,51150.0
25-34,81000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Non-binary,Nonprofits,81000.0
25-34,47736.0,USD,US,8 - 10 years,8 - 10 years,College degree,Man,Retail,47736.0
35-44,145000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Man,Accounting,145000.0
35-44,70000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,70000.0
35-44,145000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Education,145000.0
35-44,45000.0,USD,US,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,45000.0
35-44,52600.0,USD,US,11 - 20 years,2 - 4 years,High School,Woman,Other,52600.0
35-44,115000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Media,115000.0
45-54,84000.0,USD,US,11 - 20 years,11 - 20 years,Some college,Man,Accounting,84000.0
45-54,84000.0,AUD/NZD,New Zealand,11 - 20 years,8 - 10 years,College degree,Woman,Media,55440.0
18-24,85000.0,USD,US,2 - 4 years,2 - 4 years,,Man,Accounting,85000.0
25-34,54000.0,USD,US,2 - 4 years,8 - 10 years,PhD,Woman,Education,54000.0
25-34,49500.0,CAD,Canada,2 - 4 years,2 - 4 years,Master's degree,Woman,Nonprofits,35640.0
35-44,115000.0,USD,US,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Education,115000.0
35-44,70560.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,70560.0
45-54,156000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Man,Computing,156000.0
45-54,145000.0,USD,US,21 - 30 years,11 - 20 years,College degree,Woman,Software,145000.0
18-24,47840.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Research,47840.0
25-34,74825.0,USD,US,11 - 20 years,8 - 10 years,College degree,Man,Accounting,74825.0
25-34,63000.0,USD,US,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,63000.0
25-34,93300.0,CAD,Canada,5-7 years,5-7 years,College degree,Man,Computing,67176.0
25-34,116000.0,CAD,Canada,2 - 4 years,2 - 4 years,Master's degree,Man,Computing,83520.0
25-34,76000.0,USD,US,5-7 years,5-7 years,Master's degree,Woman,Engineering,76000.0
25-34,63500.0,USD,US,8 - 10 years,2 - 4 years,College degree,Woman,Law,63500.0
35-44,82500.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Accounting,82500.0
35-44,52000.0,GBP,UK,21 - 30 years,11 - 20 years,College degree,Woman,Computing,67080.0
35-44,315000.0,USD,US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,315000.0
35-44,142000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Man,Energy,142000.0
35-44,62400.0,USD,US,11 - 20 years,11 - 20 years,Some college,Man,Communication,62400.0
45-54,27500.0,GBP,UK,21 - 30 years,21 - 30 years,Some college,Man,Education,35475.0
45-54,24000.0,USD,US,21 - 30 years,8 - 10 years,College degree,Man,Education,24000.0
25-34,30000.0,GBP,UK,2 - 4 years,2 - 4 years,College degree,Man,Computing,38700.0
25-34,205000.0,USD,US,5-7 years,5-7 years,College degree,Man,Computing,205000.0
25-34,110000.0,CAD,Canada,8 - 10 years,5-7 years,College degree,Man,Media,79200.0
35-44,105000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Woman,Accounting,105000.0
35-44,85000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Engineering,85000.0
35-44,87000.0,EUR,Germany,5-7 years,2 - 4 years,,Man,Law,94830.0
35-44,64000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Nonprofits,64000.0
45-54,80.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Man,Publishing,80.0
25-34,30000.0,GBP,UK,2 - 4 years,2 - 4 years,College degree,Man,Computing,38700.0
25-34,28000.0,GBP,UK,2 - 4 years,2 - 4 years,College degree,Woman,Education,36120.0
25-34,99000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Tourism,99000.0
25-34,58600.0,USD,US,5-7 years,2 - 4 years,Master's degree,Woman,Nonprofits,58600.0
35-44,133000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Man,Computing,133000.0
35-44,175000.0,USD,US,21 - 30 years,11 - 20 years,Some college,Man,Computing,175000.0
35-44,130000.0,USD,US,11 - 20 years,11 - 20 years,Some college,Man,Computing,130000.0
35-44,80000.0,USD,US,11 - 20 years,1 year or less,PhD,Woman,Education,80000.0
35-44,80000.0,USD,US,11 - 20 years,11 - 20 years,Some college,Man,Engineering,80000.0
35-44,100000.0,USD,US,21 - 30 years,8 - 10 years,College degree,Man,Marketing,100000.0
35-44,150000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Nonprofits,150000.0
18-24,42000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Research,42000.0
25-34,33000.0,USD,US,11 - 20 years,1 year or less,College degree,Non-binary,Art,33000.0
25-34,30420.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Education,30420.0
25-34,67000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Media,67000.0
25-34,50000.0,USD,US,2 - 4 years,2 - 4 years,Master's degree,Woman,Nonprofits,50000.0
25-34,82500.0,USD,US,5-7 years,5-7 years,Master's degree,Woman,Other,82500.0
35-44,52500.0,GBP,UK,11 - 20 years,11 - 20 years,Master's degree,Man,Engineering,67725.0
35-44,350.0,USD,US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Law,350.0
45-54,85000.0,USD,US,21 - 30 years,21 - 30 years,Some college,Woman,Healthcare,85000.0
55-64,112000.0,USD,US,21 - 30 years,11 - 20 years,College degree,,Business,112000.0
25-34,85000.0,USD,US,5-7 years,5-7 years,College degree,Man,Computing,85000.0
25-34,145500.0,USD,US,8 - 10 years,8 - 10 years,High School,Man,Computing,145500.0
